x0                                 0.30291
x1                                 1.6378e-05
x2                                 0.062705
x3                                 2.8862e-07
x4                                 0.01143
x5                                 3.032e-08
x6                                 0.12287
x7                                 0.063997
x8                                 0.0057224
x9                                 3.8969e-11
x10                                0.42965
x0^2                               4.1717e-07
x0*x1                              6.9873e-07
x0*x2                              5.2154e-07
x0*x3                              2.9188e-08
x0*x4                              2.0491e-06
x0*x5                              1.1363e-08
x0*x6                              7.0235e-06
x0*x7                              9.3962e-06
x0*x8                              2.2792e-08
x0*x9                              5.4067e-09
x0*x10                             3.4423e-05
x1^2                               9.305e-07
x1*x2                              8.6309e-08
x1*x3                              6.1793e-08
x1*x4                              5.3023e-08
x1*x5                              7.9788e-08
x1*x6                              3.4895e-08
x1*x7                              1.1246e-09
x1*x8                              7.8397e-08
x1*x9                              2.1086e-08
x1*x10                             3.0424e-08
x2^2                               0.00038309
x2*x3                              1.0168e-07
x2*x4                              2.2515e-11
x2*x5                              2.4374e-07
x2*x6                              0.00010105
x2*x7                              5.1595e-05
x2*x8                              9.6206e-06
x2*x9                              6.2089e-09
x2*x10                             4.9737e-06
x3^2                               1.2937e-06
x3*x4                              4.5827e-07
x3*x5                              1.6844e-07
x3*x6                              6.0552e-10
x3*x7                              1.2324e-08
x3*x8                              2.4713e-08
x3*x9                              2.899e-07
x3*x10                             1.2884e-06
x4^2                               2.1321e-07
x4*x5                              5.8237e-09
x4*x6                              3.3433e-07
x4*x7                              2.0759e-06
x4*x8                              1.3508e-07
x4*x9                              3.5504e-07
x4*x10                             1.3217e-07
x5^2                               5.2596e-08
x5*x6                              2.3836e-07
x5*x7                              2.058e-07
x5*x8                              2.4232e-08
x5*x9                              5.7359e-08
x5*x10                             3.5676e-07
x6^2                               2.7314e-06
x6*x7                              6.826e-06
x6*x8                              3.4046e-05
x6*x9                              1.8597e-09
x6*x10                             1.7904e-05
x7^2                               9.3841e-06
x7*x8                              1.9234e-08
x7*x9                              4.1171e-08
x7*x10                             8.8035e-06
x8^2                               1.7821e-06
x8*x9                              1.3713e-08
x8*x10                             2.5072e-07
x9^2                               3.0579e-08
x9*x10                             8.4026e-08
x10^2                              2.8061e-08


Total Sobols
   Total Sobol delta_CD0 = 0.30297
   Total Sobol delta_ks = 1.8454e-05
   Total Sobol delta_e = 0.063256
   Total Sobol delta_eta = 4.0176e-06
   Total Sobol delta_kv = 0.011436
   Total Sobol delta_alpha = 1.4746e-06
   Total Sobol delta_kw = 0.12304
   Total Sobol delta_fsys = 0.064085
   Total Sobol delta_p = 0.0057684
   Total Sobol delta_beta = 9.0639e-07
   Total Sobol delta_Cf = 0.42972
Rescaled Total Sobols
   Total Sobol delta_CD0 = 0.30288
   Total Sobol delta_ks = 1.8449e-05
   Total Sobol delta_e = 0.063238
   Total Sobol delta_eta = 4.0164e-06
   Total Sobol delta_kv = 0.011433
   Total Sobol delta_alpha = 1.4741e-06
   Total Sobol delta_kw = 0.123
   Total Sobol delta_fsys = 0.064066
   Total Sobol delta_p = 0.0057667
   Total Sobol delta_beta = 9.0612e-07
   Total Sobol delta_Cf = 0.42959
