intercept                          	0.044781       
x0                                 	0.00069843
x1                                 	7.8501e-07
x2                                 	-0.00010606
x3                                 	3.8798e-07
x4                                 	4.5519e-05
x5                                 	8.4778e-08
x6                                 	0.00014807
x7                                 	0.00010714
x8                                 	-3.1841e-05
x9                                 	-2.1099e-07
x10                                	0.00083156
x0^2                               	-1.851e-06
x0*x1                              	8.0872e-09
x0*x2                              	-1.9535e-06
x0*x3                              	2.4325e-07
x0*x4                              	9.4955e-07
x0*x5                              	2.6771e-07
x0*x6                              	3.3361e-06
x0*x7                              	3.5074e-06
x0*x8                              	-5.5935e-07
x0*x9                              	2.0289e-07
x0*x10                             	2.0842e-05
x1^2                               	-2.8915e-08
x1*x2                              	-5.2519e-08
x1*x3                              	4.2164e-07
x1*x4                              	-8.3771e-08
x1*x5                              	-1.3744e-07
x1*x6                              	1.5638e-07
x1*x7                              	2.4739e-07
x1*x8                              	1.4299e-07
x1*x9                              	-4.074e-08
x1*x10                             	4.6301e-08
x2^2                               	5.304e-06
x2*x3                              	-1.7863e-07
x2*x4                              	-1.268e-07
x2*x5                              	1.989e-07
x2*x6                              	-3.5839e-06
x2*x7                              	-3.0258e-06
x2*x8                              	4.3884e-07
x2*x9                              	3.0496e-07
x2*x10                             	-3.0973e-06
x3^2                               	-8.1197e-08
x3*x4                              	8.1826e-08
x3*x5                              	-2.4079e-07
x3*x6                              	-2.8304e-07
x3*x7                              	-1.242e-07
x3*x8                              	2.0511e-07
x3*x9                              	-2.3714e-07
x3*x10                             	1.4985e-07
x4^2                               	7.5676e-09
x4*x5                              	8.5715e-08
x4*x6                              	4.6023e-07
x4*x7                              	2.5316e-07
x4*x8                              	-2.719e-07
x4*x9                              	1.0219e-07
x4*x10                             	1.4982e-06
x5^2                               	-1.64e-07
x5*x6                              	-7.76e-08
x5*x7                              	-4.0055e-07
x5*x8                              	6.5911e-08
x5*x9                              	-7.7262e-08
x5*x10                             	-2.0514e-07
x6^2                               	-4.8807e-07
x6*x7                              	1.0152e-06
x6*x8                              	-2.8551e-06
x6*x9                              	1.415e-07
x6*x10                             	4.3984e-06
x7^2                               	1.1614e-06
x7*x8                              	7.3639e-08
x7*x9                              	2.5386e-08
x7*x10                             	3.3917e-06
x8^2                               	3.7048e-07
x8*x9                              	2.921e-07
x8*x10                             	-7.3261e-07
x9^2                               	1.0039e-07
x9*x10                             	-1.9565e-07
x10^2                              	1.9468e-07
