1.001427668993240427e+00 1.060398794705223802e+00 9.989722098306580422e-01 1.017877711809173080e+00 9.626914769749033152e-01 1.165977932359270497e+00 1.121618155954782425e+00 1.096476061237033672e+00 1.030158904236068151e+00 7.635042243832637077e-01 9.810695474957257245e-01
9.979492429867584669e-01 1.332052362744410967e+00 9.183438170023334735e-01 9.259309804991237014e-01 7.836779636236437252e-01 6.575401087578158776e-01 1.039430907212127497e+00 9.374625645041452238e-01 7.190748693506420208e-01 1.501922382686089907e+00 1.008441382869541769e+00
1.010043747811947279e+00 6.237212775513586438e-01 1.009890810490436275e+00 6.208529960930416758e-01 9.251757292634570362e-01 4.973316297298083777e-01 1.008351040874694737e+00 1.120316353741265036e+00 8.229807658130086079e-01 1.121417275271454406e+00 1.023217061949679429e+00
1.030032389735844989e+00 1.034996854643605690e+00 9.872575414331102861e-01 1.405962632210273622e-01 1.390800371140347602e+00 6.523699638442316262e-01 1.093553206472146488e+00 9.126459372130648617e-01 9.167459404073110552e-01 6.218385591167694404e-01 1.074496641530026109e+00
9.470183991198553031e-01 8.505697647845718024e-01 9.000063846405736978e-01 5.892722411260871151e-01 9.476375316506623347e-01 1.393877908810801092e+00 1.017894503926785710e+00 1.064022442302956728e+00 8.349985868765880115e-01 4.039651498757346193e-01 9.595645602098047400e-01
9.857033170912683495e-01 7.421371233128288836e-01 8.922421919712217875e-01 1.348331185585104119e+00 9.198169229504244981e-01 8.900582848611158227e-01 9.212904327598696597e-01 1.029452290048708196e+00 9.122404164750501643e-01 1.454116460485953333e+00 9.769189160920219717e-01
1.002268465535958608e+00 1.804137928368876542e+00 9.805428717451999399e-01 5.543524584795345156e-01 9.802876925186210233e-01 2.230631265045638356e-01 9.651402326314386659e-01 9.650757997315196901e-01 1.270235830923434062e+00 1.193958870281208728e-02 9.618981125518663022e-01
9.971919967350580949e-01 6.134946400151777279e-01 9.327241833058635967e-01 9.963816719329293692e-01 1.165755159596809420e+00 1.203198558294828135e+00 9.875309112826134994e-01 1.050627602917826087e+00 9.740877204387284882e-01 9.340891179865451477e-01 1.011770628629565127e+00
9.726743690813685062e-01 6.527369043283111072e-01 9.526698054047897379e-01 4.983404532377918583e-01 9.952058181207137366e-01 3.913783595068520693e-01 9.966952980595913392e-01 8.997982574924533461e-01 1.051473559881356712e+00 1.221835598624678942e+00 9.647600620478090638e-01
1.049695935140967151e+00 1.044972693935010133e+00 9.487829377303915734e-01 7.021154112470398001e-01 1.234876663024124355e+00 7.990001324258305671e-01 9.319538991035362097e-01 1.093532106247620650e+00 9.238238493797295003e-01 1.678942284355382508e+00 9.524937323897562091e-01
9.718568400877977131e-01 9.253502489622462690e-01 1.015888579083791043e+00 8.657762828929992382e-01 1.172537459863283615e+00 1.485050677162770727e+00 1.049476173937316181e+00 1.091051567728247740e+00 1.315642909310821729e+00 1.388144840724281570e+00 9.899308204396335409e-01
